timestamp,timeIntervalSince1970,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,course
"2020-06-16 18:05:57.999 +0000",1592330757.999136,42.110163,-75.954464,264.002773,5.000000,6.000000,1.910000,357.187500
"2020-06-16 18:05:58.999 +0000",1592330758.999126,42.110187,-75.954462,263.459194,5.000000,6.000000,2.530000,14.062500
"2020-06-16 18:05:59.999 +0000",1592330759.999116,42.110214,-75.954456,263.634548,5.000000,6.000000,2.530000,13.710938
"2020-06-16 18:06:00.999 +0000",1592330760.999106,42.110238,-75.954453,263.550747,5.000000,6.000000,2.530000,11.250000
"2020-06-16 18:06:01.999 +0000",1592330761.999095,42.110259,-75.954451,263.584255,10.000000,8.000000,2.100000,7.734375
"2020-06-16 18:06:02.999 +0000",1592330762.999085,42.110281,-75.954458,262.290554,5.000000,6.000000,2.150000,350.859375
"2020-06-16 18:06:03.999 +0000",1592330763.999075,42.110301,-75.954466,261.655361,5.000000,6.000000,2.330000,359.648438
"2020-06-16 18:06:04.999 +0000",1592330764.999065,42.110321,-75.954472,261.044765,5.000000,6.000000,2.150000,359.296875
"2020-06-16 18:06:05.999 +0000",1592330765.999054,42.110341,-75.954479,260.425014,5.000000,6.000000,2.330000,356.484375
"2020-06-16 18:06:06.999 +0000",1592330766.999044,42.110363,-75.954485,260.774624,5.000000,6.000000,2.190000,356.484375
"2020-06-16 18:06:07.999 +0000",1592330767.999033,42.110383,-75.954489,261.441372,5.000000,6.000000,2.020000,356.835938
"2020-06-16 18:06:08.999 +0000",1592330768.999023,42.110402,-75.954494,261.739834,5.000000,6.000000,2.130000,351.210938
"2020-06-16 18:06:09.999 +0000",1592330769.999013,42.110423,-75.954504,262.373135,5.000000,6.000000,2.130000,341.367188
"2020-06-16 18:06:10.999 +0000",1592330770.999003,42.110438,-75.954513,262.257107,5.000000,6.000000,2.130000,342.070312
"2020-06-16 18:06:11.999 +0000",1592330771.998993,42.110450,-75.954518,262.286709,5.000000,6.000000,1.400000,342.070312
"2020-06-16 18:06:12.999 +0000",1592330772.998982,42.110450,-75.954518,261.862698,5.000000,6.000000,0.000000,342.070312
